Gene_Name	interacting_genes
RBM5	['SUMO2', 'RPS8', 'BCL2L1', 'ILF3', 'EMC2', 'SUZ12', 'SF3A2', 'SF1', 'ZRSR2', 'LRIF1', 'PHF19', 'RIF1', 'PRPF8', 'ZDHHC17', 'MMGT1', 'COPS5', 'RNF2', 'WDR77', 'MOV10', 'NXF1', 'FBXW11', 'PRPF19', 'POMP', 'WBP11', 'MYO1C', 'U2SURP', 'DHX15', 'XRCC3', 'SNRNP200', 'FGFR1OP', 'LSM8', 'GAPDH', 'UBC', 'U2AF2', 'LIG4', 'RPL14']
RBM6	['FGL1', 'EMC2', 'SF3B3', 'TAF7', 'ASB18', 'MMGT1', 'PAPD5', 'ASB12', 'SIRT7', 'NXF1', 'FOS', 'HNRNPA1', 'UBC', 'EEF1G', 'SHMT2', 'HNF4A', 'MATR3', 'SUMO3', 'SUMO2', 'PPP1CB']
RBM7	['MAP3K7', 'HTATSF1', 'KIF1B', 'KHDRBS3', 'SF3B1', 'MYC', 'HNRNPA1', 'UBC', 'PCNA', 'TAF1', 'CDK2', 'PPP2R1A', 'RBMX', 'HNF4A', 'SKIV2L2', 'SOX2', 'CLK2', 'NCBP2', 'HNRNPK', 'YWHAG', 'PPP2R2A', 'SRSF3', 'PPP2R2B', 'EXOSC10', 'HSF2', 'YWHAH', 'EXOSC9', 'KHDRBS1', 'NCBP1', 'SF3A3', 'SF3B2', 'CUL3', 'DHX8', 'EXOSC7', 'SF3A1', 'SF1', 'CCDC85B', 'EXOSC6', 'PPP2R2D', 'ZCCHC8', 'MIS18BP1', 'USP45', 'HAUS6', 'ZC3H18', 'CHERP', 'EXOSC8', 'ELMO3', 'CDC5L', 'RBM4', 'SLC4A1AP', 'SRRT', 'HMG20A', 'LUC7L', 'EXOSC5', 'EXOSC3', 'SRRM2', 'PPP2R2C', 'EXOSC1']
RBM8A	['IKBKG', 'CASC3', 'RNF113A', 'TTI1', 'PARK2', 'OBSL1', 'IPO13', 'APP', 'P4HB', 'HNRNPC', 'HNRNPA1', 'UBC', 'PABPC1', 'P4HA1', 'GSPT1', 'TAF1', 'CHM', 'MCM7', 'EIF4A3', 'STAT3', 'UTRN', 'BCAP31', 'PGD', 'NCBP2', 'CTSC', 'MAGOH', 'SUMO2', 'RPS16', 'ETF1', 'RPL11', 'HBB', 'SRPK2', 'RAE1', 'SRSF3', 'EWSR1', 'ZFP36L1', 'SRSF1', 'ORC2', 'SF3B2', 'DDX39B', 'HNRNPD', 'IKBKE', 'SUZ12', 'RNPS1', 'IFI16', 'P3H1', 'CDC42BPA', 'NCBP2-AS2', 'THOC7', 'SDE2', 'APTX', 'R3HCC1L', 'NOP9', 'SMG6', 'ALYREF', 'C2CD5', 'SRRM1', 'SMG8', 'FBXO25', 'TMEM263', 'SMG7', 'UPF1', 'MAGOHB', 'TOE1', 'RPGRIP1', 'SMG1', 'SRPK1', 'RNF2', 'PYM1', 'DPH1', 'UPF3B', 'SMG9', 'UPF3A', 'TDRD3', 'UPF2', 'LUZP4', 'NXF1', 'DDX41', 'USP21', 'ZMYND8', 'SMG5', 'SRRM2', 'RUVBL2', 'RUVBL1', 'THRAP3', 'CCDC9', 'PKP3']
RBMS1	['GRK5', 'HIST1H1A', 'TFCP2', 'FHL3', 'SF1', 'XPO1', 'RBFOX2', 'PTBP3', 'HNRNPA1', 'POLA1', 'UBC']
RBMS2	['SF1', 'FAM69B', 'SRPK1', 'MOV10', 'NXF1', 'XPO1', 'MYC', 'ENO1', 'CUL3']
RBMS3	['MRPL55', 'MRPL30', 'MRPL9', 'NGRN', 'MRPL40', 'MRPS18A', 'MRPL19', 'ICT1', 'SART3', 'E2F4']
RBMX	['EIF4A3', 'STAT5A', 'MATR3', 'MCM2', 'CLK1', 'CLK3', 'FXR2', 'HDGF', 'HNRNPH2', 'SUMO3', 'FOXL2', 'MAGOH', 'SUMO2', 'HNRNPK', 'PPP1CB', 'CNBP', 'TRA2B', 'RAC1', 'SUMO1', 'YBX1', 'CSNK2A1', 'SRPK2', 'PRR3', 'RBM3', 'KHDRBS1', 'FOXM1', 'ELAVL2', 'TARDBP', 'SNW1', 'CUL3', 'CIRBP', 'SAFB2', 'CUL7', 'RBMY1F', 'SF3A2', 'NFE2L2', 'PAN2', 'KHDRBS2', 'USP45', 'TUBA1A', 'MEPCE', 'CAND1', 'RBM45', 'P3H2', 'MCAT', 'SRRM1', 'XRN1', 'SPICE1', 'CCDC33', 'LNX1', 'RB1CC1', 'SREK1', 'PSMF1', 'ESR2', 'MAGOHB', 'NABP1', 'MTERF3', 'MALSU1', 'ROBO3', 'YTHDC1', 'QKI', 'PEO1', 'CDC5L', 'RNF2', 'FAM103A1', 'MAP1LC3B', 'NIF3L1', 'PAIP1', 'CCDC8', 'DHX36', 'MAP1LC3A', 'NCOA5', 'NGRN', 'SIRT7', 'FBXO6', 'APOBEC3C', 'GID8', 'FASTKD2', 'FAM120A', 'WWOX', 'ITSN2', 'LUZP4', 'DDX41', 'FBXW11', 'RALY', 'ZNF490', 'SRPK3', 'SRRM2', 'HDAC5', 'YARS2', 'RBM7', 'IVNS1ABP', 'SOCS3', 'IFIT3', 'UBD', 'FOXS1', 'SORBS3', 'JAK2', 'PTCD1', 'OBSL1', 'KHDRBS3', 'EED', 'AHSA1', 'STAU1', 'TRUB2', 'WHSC1', 'FN1', 'ESR1', 'ANXA1', 'NTRK1', 'JUN', 'SNRPA', 'GSTP1', 'HNRNPA1', 'UBC', 'RBMY1A1', 'NR2F6', 'ITGA4', 'VCAM1', 'NFKB1', 'PPP2R1A', 'HPD', 'MCM5', 'CTNNB1', 'FUS', 'PPP1CC']
RBMX2	['PRPF40A', 'NPM1', 'UBC', 'NR2C2', 'RPL14', 'RPS8', 'DHX8', 'ELAVL1', 'NKAP', 'EAF1', 'BUD13']
RBMXL1	['BCLAF1', 'JUN', 'TAF1', 'AKAP5', 'MCM5', 'PPP1CC', 'MATR3', 'MCM2', 'PPP1CB', 'PPP2R2B', 'ILF2']
RBMXL2	['GABARAP', 'UBC', 'NFKB1', 'MCM5', 'GABARAPL2', 'SUMO1', 'YBX1', 'CUL1', 'CUL3', 'CUL4B', 'CAND1', 'DYRK2', 'ESR2', 'COPS5', 'MAP1LC3B', 'GABARAPL1', 'MAP1LC3A', 'BTRC']
RBMXL3	['MMS19', 'UBC', 'MCM5']
RBMY1A1	['RBMX', 'CLK3', 'TERF1', 'HNRNPK', 'YWHAE', 'PRR3', 'RBM3', 'CIRBP', 'CBX2', 'DAAM2', 'LNX1', 'AEN', 'PRPF31', 'ZNF317', 'APOBEC3C', 'PCDHB14']
RBMY1F	['ZNF385C', 'DAAM2', 'AEN', 'PRPF31', 'YTHDC1', 'FAM103A1', 'APOBEC3C', 'RASD1', 'PCDHB14', 'RBMX', 'CLK3', 'HNRNPK', 'PRR3', 'RBM3', 'CIRBP', 'CBX2']
RBP1	['UBC', 'SOX2', 'LRP2', 'CUL4B', 'DDB1', 'BRMS1L', 'SIRT2', 'SIRT1', 'SNF8', 'ING1', 'IKBKG', 'SAP30']
RBP2	['UBE2N', 'UBE2V1', 'MORF4L2', 'MORF4L1', 'RB1', 'UBA1']
RBP4	['TTR', 'UBC', 'GRB2', 'RBBP6', 'LAMTOR5']
RBP5	['NR0B2', 'HIST3H3', 'ABCC5', 'CCNDBP1', 'HNF1A', 'HNF4A']
RBP7	['DAPP1', 'APPL2', 'DOK4', 'SOCS4', 'PIK3R3', 'HSH2D']
RBPJ	['RUNX1T1', 'NFIA', 'CHAF1B', 'SNW1', 'CUL1', 'FHL1', 'RUNX3', 'CUX1', 'HES1', 'ZNF268', 'CHD4', 'NFIX', 'SART3', 'JMJD1C', 'ELAVL1', 'CAMK4', 'FNBP1L', 'CAMSAP1', 'RNF20', 'MED27', 'FBXO42', 'SAMD1', 'SND1', 'PTF1A', 'ZNF589', 'CIR1', 'GATAD2A', 'ARID3B', 'MAP7D3', 'MAML2', 'BCL6B', 'TXNDC5', 'MAML1', 'HDAC2', 'KAT2A', 'KAT2B', 'KAT5', 'USP7', 'L3MBTL2', 'PHF21A', 'ZBTB10', 'MAML3', 'L3MBTL3', 'LCOR', 'RITA1', 'USP47', 'NACC1', 'FNBP1', 'SIN3A', 'SPEN', 'POP1', 'KIF2C', 'PITX2', 'DDX24', 'ALX4', 'ADNP', 'PATZ1', 'SEPSECS', 'WDR70', 'DCAF16', 'HMG20B', 'MBD2', 'CFDP1', 'CGGBP1', 'SFMBT1', 'MBD1', 'RPS6KA6', 'GTF3C4', 'ZMIZ1', 'MED23', 'TPX2', 'NOTCH3', 'PHF8', 'SATB2', 'KDM2A', 'GTF3C5', 'NCOR2', 'XPO1', 'OGT', 'HDAC3', 'SMARCA5', 'KDM1A', 'H2AFY', 'PSIP1', 'NFATC1', 'CLPTM1', 'MYC', 'HSPB1', 'APP', 'TPM2', 'NFIC', 'TPM1', 'ATXN1L', 'UBB', 'UBC', 'MYH7', 'RPA2', 'HOXB9', 'RCC1', 'TBP', 'NR2F2', 'GADD45A', 'SMARCA1', 'KDM5A', 'CDC27', 'HOXA10', 'HOXC13', 'HOXD13', 'DEK', 'CUX1', 'PBX1', 'RANGAP1', 'RECQL', 'NOTCH1', 'GSK3B', 'SMARCA4', 'MECP2', 'ZNF143', 'NKX2-5', 'ATXN1', 'ADAR', 'DLX5', 'RND3', 'NKX6-1', 'TFAP4', 'SATB1', 'CREM', 'NOTCH2']
RBPJL	['APP', 'PTF1A']
RBPMS	['EAF2', 'POM121', 'WDYHV1', 'ZC3H10', 'WDR90', 'HSFY1', 'TEX37', 'FBXL18', 'ZNF488', 'RDH12', 'QKI', 'STRBP', 'CRBN', 'PPP1R16B', 'KIR2DL4', 'TSG101', 'FOXC2', 'RHOXF2', 'LZTS2', 'ARHGAP9', 'POLR3GL', 'DCTN5', 'FAM103A1', 'CHCHD7', 'TRAF4', 'RUSC1', 'C20orf195', 'BBS2', 'FOXP3', 'TINAGL1', 'TOLLIP', 'ENKD1', 'TOR1AIP2', 'FAM124B', 'WDR54', 'PATZ1', 'MYOZ2', 'HEYL', 'TCF7L2', 'DMRT3', 'INIP', 'SEMA4G', 'RBFOX1', 'GPATCH2L', 'PIH1D1', 'PLAC8', 'ZNF581', 'NYNRIN', 'HEY2', 'IP6K2', 'CDC23', 'APLN', 'SPG7', 'R3HDM2', 'ZBTB32', 'RAD54L2', 'LINC00588', 'AMMECR1', 'MAGED1', 'LINC01588', 'KRTAP23-1', 'DCDC2B', 'VPS37C', 'EYA2', 'SIRPB1', 'BHLHE40', 'DPYSL4', 'DVL2', 'MEIS2', 'PER1', 'CRX', 'PHF1', 'RBFOX2', 'FOXS1', 'BUB1', 'PRKAB2', 'GCM2', 'GRAP2', 'TUSC2', 'CCNK', 'RHOBTB3', 'VENTX', 'PGLS', 'TBX6', 'EFEMP2', 'KRAS', 'IGF2', 'CRYBA1', 'CSN3', 'SNRPC', 'ATXN1L', 'CYBA', 'SNRPB', 'GATA1', 'HOXB9', 'HOXA9', 'HOXC8', 'OTX1', 'MCM5', 'MCM7', 'MYH9', 'TIE1', 'VHL', 'HOXA1', 'PDLIM4', 'FXR2', 'CCNG1', 'KPNA2', 'ATXN1', 'ATN1', 'PRKAA2', 'PRMT2', 'KRTAP12-2', 'YPEL3', 'ATP6V0D1', 'LMO4', 'TMSB4X', 'PITX1', 'SMAD3', 'SERF2', 'PRR20E', 'PRR20C', 'PRR20D', 'PRR20B', 'PRR20A', 'CDC42EP1', 'EWSR1', 'ROR2', 'CREB5', 'ARID5A', 'AES', 'RIPPLY1', 'INCA1', 'KIF1A', 'ILF3', 'MKRN3', 'PRKAA1', 'GPS2', 'ADAM15', 'PICALM', 'PIN1', 'CAMK2B', 'GRAP', 'FASTK', 'FRG1', 'NEDD9', 'GSE1', 'MVP', 'LASP1', 'NR1D2', 'RTP5', 'DAZAP2', 'LRRC41', 'SF1', 'TRIP13', 'NAB2', 'LONRF1', 'KRTAP19-5', 'KRTAP19-7', 'MGAT5B', 'RABL6', 'SMUG1', 'C1orf111', 'DCAF8', 'SIRPB1', 'TNS2', 'ZNF385C', 'LGALS9C', 'NANOGP8', 'C11orf87', 'C1orf94', 'C22orf39', 'MORN3', 'PAPD4', 'DOK6', 'VHLL', 'SPATA8', 'OLFM4', 'NAPRT', 'TTLL10', 'KCTD9', 'DOK3', 'POGZ', 'DTX2', 'SBF2', 'KRTAP8-1', 'GLYCTK', 'BCL6B', 'LRRC75A-AS1', 'ARHGEF39', 'LINC00482', 'BANP', 'BOLL', 'SMRP1', 'CNNM3', 'TOR1AIP2', 'ATP6V0E2', 'RBM46', 'CCER1', 'SH3RF2', 'FBF1', 'HNRNPLL', 'NEU4', 'GATAD2B', 'PSMF1', 'FAM168A', 'TFG']
RBPMS2	['RBFOX2', 'UBC', 'VHL']
RBSN	['EHD1', 'DISC1', 'VPS45', 'EHD3', 'EHD2', 'RAB22A', 'NINL', 'E2F3', 'HSPA8', 'RAB4A', 'RAB5A', 'RAB5C', 'RAB14', 'PTK2', 'RAB24', 'DTNBP1']
RBX1	['SKP1', 'ACTG1', 'UBE2L3', 'EEF1A1', 'TUBA1B', 'PRAME', 'SMAD3', 'HIST1H1A', 'GPS1', 'ERCC8', 'SKP2', 'MAPK8IP2', 'OS9', 'CUL1', 'CUL2', 'CUL3', 'CUL4A', 'CUL4B', 'KEAP1', 'BECN1', 'CUL7', 'SUZ12', 'LRRC14', 'TCEB1', 'TCEB2', 'ELAVL1', 'TAB1', 'NEDD8', 'EZH2', 'DDB1', 'HIF1A', 'DAB2IP', 'FBXO31', 'CREB3L3', 'FBXO42', 'DCUN1D2', 'RICTOR', 'UBE2R2', 'MCM10', 'COPS6', 'DET1', 'FBXO33', 'TRIM74', 'KBTBD6', 'CAND1', 'ZC3HC1', 'FBXO11', 'VRK2', 'DCUN1D3', 'CUL9', 'KLHL7', 'FBXW8', 'KCTD17', 'ABTB2', 'FBXO22', 'ARID1B', 'FBXO18', 'KDM2B', 'RFWD2', 'FBXO27', 'FBXO25', 'TRPC4AP', 'KBTBD7', 'DDB2', 'IP6K1', 'DCUN1D4', 'FRZB', 'DIO2', 'COPS5', 'MAP4K1', 'GLMN', 'CUL5', 'FBXW7', 'UBE2E3', 'FBXO17', 'MED8', 'DCUN1D1', 'PGAM5', 'LRR1', 'CRBN', 'COPS4', 'DCUN1D5', 'RNF126', 'DDA1', 'GAN', 'FBXL15', 'WNK1', 'FBXO44', 'MKNK2', 'FBXO6', 'FBXL12', 'ING3', 'ZAK', 'IBTK', 'MAGEC2', 'COPS7A', 'KLHL3', 'SERTAD1', 'FBXO2', 'FEM1B', 'FBXO3', 'FBXL5', 'FBXW11', 'FBXW2', 'COPS3', 'BTRC', 'FBXO7', 'SAMHD1', 'VPRBP', 'SESN1', 'HAX1', 'ENC1', 'UBE2L6', 'TP73', 'MTSS1', 'MAP3K7', 'KLHL41', 'UBXN7', 'FBXO21', 'RHOBTB3', 'ESR1', 'TP53', 'HSPB1', 'APP', 'UBC', 'HSPA1A', 'HSPA1B', 'MYB', 'HSPA8', 'TRIM27', 'RAG1', 'HIST1H1C', 'HOXB4', 'CCNA2', 'RPS6KB1', 'GATA2', 'CCND1', 'CCNE1', 'PSMA2', 'NFKBIA', 'PML', 'CCND2', 'CCND3', 'GRK5', 'CTNNB1', 'PTGS2', 'BRCA1', 'VHL', 'CCNF', 'CASP3', 'CDKN1B', 'NEDD4', 'CDC34', 'CSNK1E', 'HINT1', 'UBE2D1', 'PLK1', 'CORO7', 'SESN2', 'UBE2G2', 'PSMA6', 'UBE2D3', 'UBE2M', 'UBE2G1', 'RHOB', 'UBE2D2']
RC3H1	['UBE2F', 'WWOX', 'AGO2', 'UBC', 'DDX6', 'UBE2A', 'UBE2G2', 'UBE2N', 'UBE2G1', 'UBE2D2', 'UBE2B', 'UBE2L3', 'UBE2V1', 'UBE2V2']
RC3H2	['UBC', 'UBE2G2', 'UBE2K', 'UBE2N', 'UBE2D2', 'UBE2B', 'UBE2I', 'UBE2V1', 'ELAVL1', 'UBE2V2', 'MMGT1', 'UBE2Q2', 'UBE2E3', 'UBE2E2', 'TRIM8']
RCAN1	['FBXW4', 'PPP3CA', 'NEDD8', 'FAM122A', 'TOLLIP', 'FBXW11', 'USP22', 'BTRC', 'TRAF6', 'RAF1', 'APP', 'CAPN1', 'HSP90AA1', 'UBC', 'PRKACB', 'PPP3CC', 'IRAK1', 'STAT2']
RCAN2	['TCEB1', 'SERPINA12', 'MUC7', 'ZG16B', 'ARMT1', 'SPRR3', 'CRNN', 'GSTZ1', 'CST4', 'AMY1A', 'CST2', 'PPP3CB', 'PPP3CC', 'GSK3A', 'GSK3B', 'PPP3R1', 'PPP3CA']
RCAN3	['OBSL1', 'CDK4', 'PPP3CB', 'TNNI3', 'PPP3CC', 'PPP3R1', 'PPP3CA', 'EPS8', 'GRB10', 'ZDHHC17', 'SMYD3', 'ARMT1']
RCBTB1	['COPS5', 'CUL5', 'UBE2E3', 'MAP1LC3B', 'GABARAPL1', 'MAP1LC3A', 'GABARAP', 'PTBP3', 'APP', 'HSP90AA1', 'HSP90AB1', 'UBC', 'HELZ', 'GABARAPL2', 'CUL1', 'CUL2', 'CUL3', 'HERC3', 'ANKRD40', 'FOXR2']
RCBTB2	['FARS2', 'HSP90AA1', 'HSP90AB1', 'UBE2I', 'PDE4B', 'CUL3', 'NUDCD2', 'UBE2E3', 'ZNF558', 'COPS4', 'PIK3R2']
RCC1	['VCAM1', 'RPA1', 'SHMT2', 'RANBP1', 'RANGAP1', 'BAG6', 'CSNK1A1', 'NUP153', 'RANBP2', 'APLP1', 'HDGF', 'ZNF135', 'HADHB', 'FOXA1', 'NUP107', 'ACTB', 'SUMO2', 'HIST1H4A', 'RAN', 'GNB2', 'SUMO1', 'UBE2I', 'HIST1H3A', 'MDM2', 'TLE1', 'RBPJ', 'USP4', 'UNC119', 'TUBB3', 'KPNB1', 'CUL7', 'SUZ12', 'TEAD2', 'NEDD8', 'HIST2H2AC', 'HIST2H2BE', 'LRIF1', 'CRELD2', 'FOXI2', 'SPRED1', 'TRMT2A', 'NAV1', 'FLAD1', 'OTUB1', 'RNF2', 'RGPD5', 'CCT7', 'FOXB1', 'VRK1', 'SDF4', 'NTMT1', 'NUSAP1', 'FOXQ1', 'FOXP1', 'RANBP3', 'MOV10', 'NXF1', 'HDAC9', 'KMT2B', 'FAF1', 'CSAD', 'RGPD3', 'FOXE1', 'KPNA3', 'KPNA4', 'DYNC1I1', 'RGPD8', 'XPO1', 'NUDT21', 'OBSL1', 'H2AFY', 'FOXH1', 'CDK2AP2', 'WIZ', 'DDAH2', 'FN1', 'TP53', 'CHGB', 'JUN', 'PTMA', 'ENO1', 'NGFR', 'UBC', 'PDHB', 'HOXD8', 'ITGA4', 'PKM', 'HMGA1', 'TAL1']
RCC2	['FTSJ1', 'TNIK', 'CORO1C', 'PHF8', 'PRKAB1', 'TRAF6', 'AIM2', 'OBSL1', 'PRPF40A', 'PAK4', 'FN1', 'NTRK1', 'JUN', 'UBC', 'ERG', 'VCAM1', 'CDK2', 'HLA-B', 'NF2', 'VHL', 'IQGAP1', 'MCM2', 'HDGF', 'SUMO3', 'EIF6', 'PTEN', 'CDC42', 'SUMO2', 'ARF6', 'HIST1H2BC', 'GRB2', 'RAC1', 'CUL7', 'ELAVL1', 'IFI16', 'CDCA8', 'DOCK11', 'OTUB1', 'AURKB', 'VWA9', 'RACGAP1', 'GABARAPL1', 'CCDC8', 'ATG5', 'MAP1LC3A', 'SIRT7', 'PAK1IP1']
RCCD1	['UBC', 'RBL2', 'INPP5A', 'E2F4']
RCE1	['UBC', 'BBS4']
RCHY1	['USP28', 'RNF2', 'DCUN1D5', 'KRTAP9-2', 'TRIM8', 'SEMA4C', 'RBM38', 'TP63', 'ZNF160', 'CHD8', 'AIG1', 'TMEM14C', 'NLK', 'SERTAD1', 'TAOK2', 'PLAGL2', 'CAMK2A', 'POLH', 'UBE2D4', 'SRPRB', 'KRIT1', 'COPE', 'MDM4', 'TP73', 'HOXA2', 'KLHL41', 'PGLS', 'CHEK2', 'SERPINA1', 'MT2A', 'HRG', 'TP53', 'RPN2', 'SERPINA5', 'RPLP1', 'KRT18', 'KRT8', 'F7', 'HOXC4', 'HOXB5', 'COX6C', 'UBB', 'UBC', 'AR', 'CYBA', 'HOXB1', 'ARF4', 'MSH3', 'CDKN1B', 'MEOX2', 'CDK9', 'UBE2D1', 'ATN1', 'UBE2D3', 'CALM1', 'YWHAE', 'RAB11A', 'UBE2D2', 'CDK6', 'MDM2', 'AOX1', 'PRDX4', 'BIRC3', 'CAMK2G', 'GORAB', 'GFI1B', 'WDR74', 'ANGPTL8', 'ADAMTSL4', 'TMEM184A', 'NOTCH2NL', 'LIMS2', 'FADS6', 'RFWD2', 'UBASH3B', 'PMM1', 'KAT5', 'NKD2', 'TMBIM1', 'RILP']
RCL1	['XPO1', 'EED', 'MYC', 'JUN', 'UBC', 'USF1', 'BRCA1', 'HDGF', 'MAX', 'SUMO2', 'HIST1H3A', 'SUZ12', 'IFI16', 'PAPD5', 'TFG', 'RNF2', 'GEMIN7', 'MOV10', 'SIRT7', 'HECW2', 'NXF1']
RCN1	['NEDD8', 'TCTN1', 'CCDC88A', 'WDR45B', 'RPGRIP1L', 'SPECC1L', 'TCTN3', 'ARMC6', 'VWA1', 'AATK', 'LCA5', 'PTRH1', 'ASPM', 'PCSK9', 'HIPK4', 'CEP76', 'HNRNPLL', 'MYO18A', 'HDAC11', 'RNF2', 'TUBA1C', 'CEP250', 'GNB1L', 'RNF41', 'ASB8', 'MOV10', 'DYRK4', 'HAUS2', 'FBXL12', 'GTSE1', 'LRFN1', 'NXF1', 'SSX2IP', 'IRS4', 'XRCC3', 'JAK2', 'OFD1', 'ZWINT', 'MYC', 'UBC', 'ARAF', 'HSPA5', 'CFTR', 'TAF1', 'BMI1', 'NOS2', 'MATR3', 'IRAK1', 'NDST2', 'LIMK2', 'ATXN1', 'MLF1', 'ILK', 'CUL3', 'CUL7', 'SUZ12']
RCN2	['IQCB1', 'TRADD', 'NEDD8', 'IFI16', 'TCTN1', 'PAN2', 'ECM29', 'PYHIN1', 'TCTN3', 'FRMD5', 'ASPM', 'CEP76', 'ASB17', 'ASB12', 'TUBGCP3', 'HDAC11', 'TUBA1C', 'CEP250', 'SPRTN', 'GABARAPL1', 'LATS2', 'HAUS2', 'FKBPL', 'KCND3', 'TRAF6', 'ASB3', 'EID1', 'IRS4', 'AIM2', 'XPO1', 'ANKRD28', 'PARK2', 'CLN5', 'GABARAP', 'EGFR', 'TP53', 'IFIT2', 'UBC', 'ARAF', 'HSPA5', 'CFTR', 'TNFRSF1A', 'TNFRSF1B', 'CD247', 'NOS2', 'MNDA', 'BAG6', 'MCM2', 'LIMK2', 'MLF1', 'GABARAPL2', 'YWHAE', 'MDM2', 'TRAF1', 'MAP3K1', 'CLN3', 'ILK', 'SQSTM1', 'RIPK1', 'CUL3']
RCN3	['MKNK1', 'KLHL42', 'SUFU', 'XRCC3', 'MBD3', 'UBC', 'STAT6', 'HID1', 'PACRGL', 'PRUNE2']
RCOR1	['MED23', 'NINL', 'NR2E1', 'HDAC3', 'KDM1A', 'ECE2', 'ZNF217', 'SNAI1', 'FGF1', 'JUN', 'NPM1', 'UBC', 'NR2C1', 'TCF3', 'TAL1', 'BCL3', 'HSPA4', 'EMD', 'SERPINH1', 'SMARCA4', 'MECP2', 'SUB1', 'SUMO3', 'CTBP2', 'SUMO2', 'HIST1H3A', 'TP53BP1', 'REST', 'CTBP1', 'HDAC1', 'SNW1', 'TRIP4', 'HIST3H3', 'ESCO2', 'GFI1B', 'CEP135', 'ARRDC1', 'SMARCC2', 'DOK4', 'HDAC2', 'MED12', 'SMARCE1', 'FBXW7', 'PHF21A', 'SCLT1', 'CDC5L', 'GFI1', 'B9D2', 'MTA3', 'MED28', 'OBFC1', 'HMG20A', 'HMG20B', 'ZMYM2', 'KDM5B']
RCOR2	['HDAC2', 'HDAC11', 'HMG20B', 'KDM1A', 'ARR3', 'SUMO2', 'CTBP1', 'HDAC1']
RCOR3	['TFIP11', 'MID2', 'IKZF3', 'NINL', 'HDAC3', 'KDM1A', 'ECE2', 'TULP3', 'SNAI1', 'MYC', 'APP', 'FGF1', 'UBC', 'TRIM27', 'KRT15', 'ATP5F1', 'YWHAQ', 'TXLNA', 'MAGEA1', 'MAGEA6', 'SUMO2', 'CDR2', 'GOLGA2', 'TRAF2', 'CTBP1', 'HDAC1', 'GSE1', 'KRT31', 'ELAVL1', 'CEP55', 'CCDC102B', 'KRT40', 'NECAB2', 'LCA5', 'TRIM42', 'ARRDC1', 'CEP70', 'MIPOL1', 'DOK4', 'HDAC2', 'CEP19', 'LZTS2', 'MTA3', 'TRIM54', 'TSGA10', 'PRDM14', 'HMG20A', 'HMG20B', 'LUZP4']
RCSD1	['UBC']
RCVRN	['TGFBR2', 'GRK6', 'SMAD3', 'CAV1', 'IL15RA', 'GIT2', 'GRK1', 'PQBP1', 'GRK5']
RD3	['NBEA', 'EHMT2', 'GNB4', 'CSNK1G3', 'APP', 'EPHA2', 'LRBA', 'RAP1B', 'EIF2B1', 'GNA13', 'NDUFAF7']
RD3L	['WRAP73']
RDH10	['UBC', 'MORC3', 'ELAVL1']
RDH11	['MCOLN3', 'HTR3C', 'UBAC1', 'NMES1', 'POMK', 'ROBO2', 'GINM1', 'SRPRB', 'HEPACAM2', 'CA12', 'COQ9', 'NTRK1', 'ISG15', 'UBC', 'HNF4A', 'PLTP', 'SUMO2', 'TSPAN5', 'NRG1', 'PON2', 'ZACN', 'BLOC1S2']
RDH12	['UBAC1', 'MAP1LC3A', 'UBE2T', 'BUB1', 'UBC', 'ANXA8', 'PEX19', 'AGFG1', 'TSPAN5', 'UBE2D2', 'LASP1', 'TKFC', 'ANXA8L1', 'RNF123', 'ARPIN', 'CCDC25', 'ZBTB8OS', 'ARFGAP1', 'RBPMS', 'UBE2E3']
RDH13	['L3HYPDH', 'COA3', 'NDUFA4', 'COQ9', 'GADD45G', 'NAPSA', 'TP53', 'SLC25A5', 'GNAI3', 'UBC', 'PSKH1', 'CYP3A5', 'NT5E', 'IDH3A', 'NEDD8', 'MINOS1', 'OLFM4']
RDH14	['TSPAN3', 'COQ9', 'UBC', 'TAF1', 'TSPAN5']
RDH5	['ORC4', 'RLBP1', 'HNF4A', 'UBE2G1', 'HERC3', 'ELAVL1', 'DDI2']
RDM1	['MRFAP1L1', 'PI4KB', 'RUVBL2', 'UBC']
RDX	['DRD3', 'BRCA1', 'ARHGDIA', 'MAPK10', 'PSME3', 'CALM1', 'GNA13', 'ELAVL1', 'PHLPP2', 'TSC1', 'UFD1L', 'RNF2', 'GABARAPL1', 'VPS11', 'SLC9A3R1', 'ESR1', 'NTRK1', 'ITGB2', 'LYN', 'PLEK', 'C1QTNF9', 'UBC', 'MCF2', 'ICAM2', 'EZR']
REC8	['BAG2', 'STIP1', 'MLF1', 'PSMD2', 'SMC1A', 'SYCP3', 'SMC1B', 'AARSD1', 'CACYBP', 'STUB1', 'SMC3', 'SGTA']
RECK	['ERBB2', 'TCF4', 'CTH', 'MTNR1B', 'MEOX2', 'REL', 'KEAP1', 'KRT40', 'NOTCH2NL', 'TRIM69', 'USHBP1', 'TEKT4', 'CEP44', 'TRIM39', 'ONECUT1']
