Gene_Name	interacting_genes
ABCD2	['NTRK1', 'UBC', 'ABCD3', 'ABCD1', 'PEX19']
ABCD3	['ABCD1', 'PEX19', 'RAB7A', 'CLN3', 'CUL3', 'DYRK1A', 'MDC1', 'PCM1', 'MLF2', 'MEST', 'TMEM67', 'TMEM63B', 'SLC39A4', 'USP50', 'MYH14', 'FAM134A', 'HIPK4', 'USP32', 'FAF2', 'MMS19', 'RNF2', 'PELO', 'C20orf24', 'NMES1', 'UNK', 'ECT2', 'BRF2', 'MOV10', 'TUFT1', 'OCIAD1', 'VAPA', 'ABCD2', 'NXF1', 'BTRC', 'GOLT1B', 'DYRK1B', 'PGRMC1', 'NDUFA4', 'PHYH', 'OBSL1', 'COQ9', 'PTP4A3', 'PEX14', 'EGFR', 'KRAS', 'NTRK1', 'JUN', 'UBC', 'PTPN1', 'TAF1', 'PSMA1', 'STOM']
ABCD4	['DLEU1', 'UBC', 'XRCC6', 'PEA15', 'HSPB2', 'SARAF']
ABCE1	['RAP2B', 'MAX', 'HSPE1', 'SUMO2', 'PPP1CB', 'RPS29', 'SNRPF', 'ETF1', 'RPS25', 'GNB1', 'RPL32', 'PPP2R2A', 'DYNLL1', 'GNG5', 'TFAM', 'E2F1', 'ANK2', 'EWSR1', 'LMNB2', 'YWHAH', 'RNASEL', 'MFGE8', 'TWF1', 'CBX3', 'ILK', 'CUL3', 'CUL4A', 'DSG2', 'FLOT2', 'SMC1A', 'RRP1B', 'NUMA1', 'KARS', 'EBP', 'PTGES3', 'RAB35', 'TCEB1', 'TOMM20', 'SAFB', 'SF3A1', 'TSN', 'MAPRE1', 'RBBP7', 'NDUFA5', 'IMMT', 'RRP12', 'HIST2H2BF', 'LRRK2', 'H3F3C', 'SFXN4', 'TTC37', 'USP50', 'DDX46', 'DCXR', 'PEG10', 'TMEM17', 'GAS2L3', 'DCP2', 'RAVER1', 'TTC29', 'POC5', 'CCNY', 'ABCF1', 'GADD45GIP1', 'KIAA1524', 'HM13', 'ORAOV1', 'C2orf47', 'ATXN2L', 'USP7', 'FUBP3', 'SUCLG2', 'MMS19', 'PSMD1', 'RNF2', 'DNAJC7', 'WDR77', 'AIF1L', 'SDF4', 'TBCD', 'TIMM21', 'ULBP3', 'NAT10', 'CPVL', 'POLR1B', 'GNB4', 'CENPJ', 'EXOSC4', 'ISYNA1', 'RPRD1B', 'SIRT7', 'FBXO6', 'YAE1D1', 'SMC4', 'MDN1', 'FANCI', 'DDX18', 'TECR', 'CISD1', 'CNIH4', 'NDUFAF4', 'NDUFA13', 'TMEM216', 'STARD9', 'ATXN10', 'SAE1', 'PFDN2', 'CPSF3', 'MED23', 'CORO1C', 'MYO6', 'PSMD13', 'MACF1', 'SRRM2', 'C14orf166', 'VDAC3', 'EPB41L3', 'FAM96B', 'STRAP', 'RPL36', 'SUPT16H', 'C16orf96', 'SNAP23', 'HAX1', 'EIF3F', 'NDUFA4', 'PSMD14', 'PPP6C', 'ABLIM1', 'TPP1', 'TIMM23', 'XPO1', 'SURF4', 'PPM1G', 'EIF3D', 'EIF3H', 'ARPC5', 'EPB41L2', 'ZNF207', 'PARK2', 'SMARCA5', 'DKC1', 'WDR1', 'FLNB', 'PSIP1', 'RP2', 'CBR3', 'PAK3', 'FLOT1', 'CIAO1', 'UFL1', 'STAU1', 'AIFM1', 'PNP', 'MYC', 'LMNA', 'CSTB', 'NTRK1', 'TP53', 'JUN', 'FYN', 'HEXB', 'LYN', 'ASNS', 'PDHA1', 'VIM', 'UBC', 'PTPRF', 'CTSA', 'EPB41', 'RALA', 'IGF2R', 'SLC25A4', 'SRC', 'XRCC5', 'ITGA4', 'PRKAR2A', 'CD59', 'FDPS', 'JUP', 'GSPT1', 'GNS', 'CD44', 'GLB1', 'HIST1H1C', 'PRKACA', 'PFKL', 'RPL35A', 'GNAZ', 'VCAM1', 'SRM', 'LMNB1', 'FLNA', 'TAF1', 'SDHB', 'FBL', 'ACAT1', 'RPS12', 'PSMA2', 'MSN', 'APEX1', 'MAP4', 'PSMA5', 'SSFA2', 'MAPK1', 'GNA11', 'PEBP1', 'KIF5B', 'DUT', 'RFC4', 'PSMC2', 'PPP1CC', 'ATP6V1A', 'EIF4A3', 'NAA10', 'HNF4A', 'TMPO', 'TMPO', 'RPS27', 'PRCP', 'VDAC2', 'CBX5', 'RPL21', 'MAP1B', 'IQGAP1', 'PSMD8', 'SRP9', 'AARS', 'PSMB3', 'MCM2', 'GNAQ', 'CACNA2D1', 'AK2', 'PSMD4', 'UBASH3A', 'S100A10']
ABCF1	['COPS5', 'PINX1', 'OTUB1', 'SRPK1', 'MMS19', 'CDC5L', 'RNF2', 'CCDC8', 'SIRT7', 'LYAR', 'PRKAB1', 'CNOT1', 'NOP56', 'XPO1', 'OBSL1', 'EED', 'UBXN7', 'FMNL1', 'FN1', 'NTRK1', 'APP', 'JUN', 'UBC', 'GRK5', 'MCM2', 'HDGF', 'EIF6', 'ABCE1', 'SUMO2', 'POU5F1', 'ITGB3BP', 'SNW1', 'CUL2', 'EMC2', 'IFI16', 'TIGD6', 'RPGRIP1L']
ABCF2	['ANKRD28', 'UBD', 'EGFR', 'NTRK1', 'ISG15', 'JUN', 'NPM1', 'UBC', 'RPL10', 'SHMT2', 'FUS', 'BRCA1', 'HADHA', 'PPP5C', 'SUMO2', 'SUMO1', 'YBX1', 'MAD2L1', 'ILK', 'SNW1', 'NEDD8', 'TM9SF4', 'FAF2', 'OTUB1', 'CCNL2', 'CCDC8', 'ACAD9', 'UPF2', 'MOV10', 'FBXO6', 'NXF1']
ABCF3	['NXF1', 'ACIN1', 'SRRM2', 'DNALI1', 'DLEU1', 'FCHSD2', 'MOCS2', 'NTRK1', 'UBC', 'SPP1', 'HSPA5', 'TRIM27', 'PPP2R1A', 'HNF4A', 'SUMO2', 'TBPL1', 'FOXL1', 'SNW1', 'TEAD2', 'LAMTOR1', 'CCDC33', 'NOA1', 'TOE1', 'SLC35E1', 'CDC5L', 'RNF2', 'HIRIP3', 'MOV10', 'FBXO6']
ABCG1	['NEDD4', 'AP1S2', 'MAX', 'ELAVL1', 'ABCG4', 'ABCG5', 'ACSL4', 'UBC', 'TAF1', 'HNF4A']
ABCG2	['GOLT1B', 'PCDH7', 'UBC', 'PIM1', 'RAB7A', 'DBN1', 'SYNPO', 'MYO5C']
ABCG4	['ABCG1', 'ZDHHC17']
ABCG5	['NCK1', 'PIK3R1', 'ABCG1', 'ABCG8']
ABCG8	['ABCG5', 'AGPAT2', 'NUPR1', 'ANG', 'LMNB1', 'NR4A1', 'AKT2', 'HNF4A', 'MAL2']
ABHD1	['CCDC155']
